County,Female,Male,Unknown/Other,Total
Adams,4043,3871,148,8062
Asotin,7553,6761,240,14554
Benton,63237,60199,3182,126618
Chelan,26034,24852,899,51785
Clallam,29380,26602,1259,57241
Clark,170043,157507,5413,332963
Columbia,1463,1361,39,2863
Cowlitz,36545,34533,1495,72573
Douglas,13166,12571,620,26357
Ferry,2475,2560,121,5156
Franklin,22181,21072,909,44162
Garfield,801,821,17,1639
Grant,23991,23085,964,48040
Grays Harbor,24506,22902,1152,48560
Island,31305,28854,1349,61508
Jefferson,14191,12942,439,27572
King,681066,658029,36976,1376071
Kitsap,94734,90647,3549,188930
Kittitas,14551,14469,659,29679
Klickitat,7670,7747,383,15800
Lewis,27503,26463,1124,55090
Lincoln,4092,4150,135,8377
Mason,22447,21779,269,44495
Okanogan,12684,12191,727,25602
Pacific,8445,7911,460,16816
Pend Oreille,5231,5288,262,10781
Pierce,281238,260156,11591,552985
San Juan,7349,6886,418,14653
Skagit,43597,40346,1784,85727
Skamania,4395,4496,220,9111
Snohomish,256969,245486,10887,513342
Spokane,184359,172268,8343,364970
Stevens,16957,16711,720,34388
Thurston,101875,92243,3884,198002
Wahkiakum,1712,1693,70,3475
Walla Walla,18911,17376,592,36879
Whatcom,80985,75866,3120,159971
Whitman,11161,10697,776,22634
Yakima,66563,60103,1423,128089
Total,2425408,2293494,106618,4825520
